日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019/9/27,'000016,上证50,2929.4659,2934.3253,2916.0681,2929.3167,2927.8766,1.5893,0.0543,23014561,32422355452
2019/9/26,'000016,上证50,2927.8766,2952.8717,2926.5371,2939.6752,2928.8351,-0.9585,-0.0327,31466918,44815324820
2019/9/25,'000016,上证50,2928.8351,2942.0024,2923.151,2930.1396,2940.0806,-11.2455,-0.3825,22526512,35894449648
2019/9/24,'000016,上证50,2940.0806,2956.2923,2929.6015,2936.9522,2930.9132,9.1674,0.3128,22732296,40266780209
2019/9/23,'000016,上证50,2930.9132,2955.2647,2916.4293,2955.2647,2963.4349,-32.5217,-1.0974,23782646,39232461763
2019/9/20,'000016,上证50,2963.4349,2970.7227,2956.9157,2964.916,2956.8294,6.6055,0.2234,30230028,47729266703
2019/9/19,'000016,上证50,2956.8294,2965.1098,2941.6594,2965.0334,2954.3577,2.4717,0.0837,20942809,34846676699
2019/9/18,'000016,上证50,2954.3577,2967.8616,2947.6767,2947.9715,2937.0077,17.35,0.5907,23353923,41683898334
2019/9/17,'000016,上证50,2937.0077,2974.0089,2929.3061,2974.0089,2982.4481,-45.4404,-1.5236,30722495,45651979114
2019/9/16,'000016,上证50,2982.4481,3004.8778,2972.5785,3003.648,2999.5617,-17.1136,-0.5705,32533939,48002497941
2019/9/12,'000016,上证50,2999.5617,3001.2259,2963.4513,2970.0115,2957.1439,42.4178,1.4344,31824410,52267977331
2019/9/11,'000016,上证50,2957.1439,2980.6641,2946.5683,2978.9743,2969.8048,-12.6609,-0.4263,35199335,57420856053
2019/9/10,'000016,上证50,2969.8048,2988.0565,2958.3126,2987.5127,2981.5862,-11.7814,-0.3951,36034678,51347965821
2019/9/9,'000016,上证50,2981.5862,3008.6713,2974.2331,3004.8033,2981.0728,0.5134,0.0172,38695798,60012229467
2019/9/6,'000016,上证50,2981.0728,2981.2431,2955.8164,2974.8017,2955.8399,25.2329,0.8537,31465367,49253544124
2019/9/5,'000016,上证50,2955.8399,2988.208,2938.1378,2938.1378,2919.6782,36.1617,1.2386,52852272,79279041905
2019/9/4,'000016,上证50,2919.6782,2919.6782,2887.5852,2888.9717,2892.1821,27.4961,0.9507,37647144,53644453692
2019/9/3,'000016,上证50,2892.1821,2900.7638,2878.1,2897.2856,2894.9575,-2.7754,-0.0959,25904982,39972053324
2019/9/2,'000016,上证50,2894.9575,2902.4089,2866.7493,2871.2873,2872.401,22.5565,0.7853,29753214,45888749880
2019/8/30,'000016,上证50,2872.401,2886.3472,2856.0293,2878.2124,2855.4504,16.9506,0.5936,25922975,43825498629
2019/8/29,'000016,上证50,2855.4504,2871.6336,2843.282,2867.7679,2867.0269,-11.5765,-0.4038,22386670,37475570899
2019/8/28,'000016,上证50,2867.0269,2887.8516,2860.7114,2883.3474,2887.2385,-20.2116,-0.7,23610765,41588186589
2019/8/27,'000016,上证50,2887.2385,2915.8357,2880.9962,2883.4157,2863.4793,23.7592,0.8297,35741368,57183305449
2019/8/26,'000016,上证50,2863.4793,2882.4543,2854.5085,2869.462,2917.3773,-53.898,-1.8475,26436578,46412408381
2019/8/23,'000016,上证50,2917.3773,2923.9328,2876.0218,2880.5722,2878.0047,39.3726,1.3681,24138057,45464081993
2019/8/22,'000016,上证50,2878.0047,2881.0557,2862.4404,2878.7299,2869.2196,8.7851,0.3062,20493057,31209995919
2019/8/21,'000016,上证50,2869.2196,2875.0111,2864.8145,2868.6307,2875.653,-6.4334,-0.2237,21637444,31697839333
2019/8/20,'000016,上证50,2875.653,2883.5481,2864.7091,2869.1589,2877.2312,-1.5782,-0.0549,29817583,41610605926
2019/8/19,'000016,上证50,2877.2312,2877.4701,2823.8691,2839.2455,2824.2258,53.0054,1.8768,41911167,60087435549
2019/8/16,'000016,上证50,2824.2258,2846.257,2805.813,2817.266,2814.3881,9.8377,0.3496,24147328,40454103156
2019/8/15,'000016,上证50,2814.3881,2815.1501,2756.3765,2758.7354,2804.3553,10.0328,0.3578,25284675,35967053705
2019/8/14,'000016,上证50,2804.3553,2831.3419,2803.8644,2827.038,2792.9137,11.4416,0.4097,26108221,39001289672
2019/8/13,'000016,上证50,2792.9137,2812.4924,2787.1229,2807.9587,2824.8041,-31.8904,-1.1289,21464034,31203938404
2019/8/12,'000016,上证50,2824.8041,2825.0853,2782.7699,2787.4395,2772.1492,52.6549,1.8994,22136997,38630482198
2019/8/9,'000016,上证50,2772.1492,2802.8147,2767.1403,2800.4373,2786.8715,-14.7223,-0.5283,25380966,34104733906
2019/8/8,'000016,上证50,2786.8715,2790.1429,2768.7137,2771.4483,2747.2491,39.6224,1.4423,29406960,38752525711
2019/8/7,'000016,上证50,2747.2491,2773.9376,2747.2491,2771.2382,2760.6799,-13.4308,-0.4865,24588464,35131933910
